date,etf,ticker,weight,icc
2026-07-16,IWF,GOOGL,0.062400000000000004,0.0374616695265542
2026-07-16,IWF,AVGO,0.0557,0.165256090788752
2026-07-16,IWF,GOOG,0.0506,0.0371575246559546
2026-07-16,IWF,MSFT,0.0426,0.0701371391971642
2026-07-16,IWF,TSLA,0.0355,0.017919126752418
2026-07-16,IWF,META,0.0339,0.0523803944436284
2026-07-16,IWF,MU,0.0334,0.2654336192377388
2026-07-16,IWF,LLY,0.028999999999999998,0.0800615890484258
2026-07-16,IWF,AMD,0.0265,0.1196162872131638
2026-07-16,IWF,V,0.0172,0.0555460384344177
2026-07-16,IWF,AMAT,0.0139,0.079548135587076
2026-07-16,IWF,LRCX,0.0132,0.0789371339086097
2026-07-16,IWF,CAT,0.0127,0.068170882061683
2026-07-16,IWF,MA,0.0126,0.0633506831728193
2026-07-16,IWF,GE,0.0111,0.0621845980082952
2026-07-16,IWF,NFLX,0.0095,0.05303110128175
2026-07-16,IWF,KLAC,0.009000000000000001,0.0671662664633613
2026-07-16,IWF,GEV,0.0086,0.0272289715440283
2026-07-16,IWF,PLTR,0.0086,0.0554812815625825
2026-07-16,IWF,TXN,0.0084,0.0589719288680281
2026-07-16,IWF,PANW,0.008100000000000001,0.0120904113104462
2026-07-16,IWF,SNDK,0.008100000000000001,0.2062319874758803
2026-07-16,IWF,HD,0.0075,0.0596782526993738
2026-07-16,IWD,AMZN,0.060700000000000004,0.0563757808712136
2026-07-16,IWD,AAPL,0.0575,0.0400786669661726
2026-07-16,IWD,MSFT,0.0394,0.0701371391971642
2026-07-16,IWD,JPM,0.0253,0.0605525530639261
2026-07-16,IWD,BRK-B,0.0252,0.0402098982593103
2026-07-16,IWD,JNJ,0.0169,0.0678052749610267
2026-07-16,IWD,XOM,0.0167,0.0604237105511557
2026-07-16,IWD,INTC,0.013000000000000001,0.0601017969792164
2026-07-16,IWD,CSCO,0.0128,0.056388664985051
2026-07-16,IWD,WMT,0.0126,0.0460817480890133
2026-07-16,IWD,ABBV,0.011000000000000001,0.0922155192214678
2026-07-16,IWD,UNH,0.0106,0.0745507255489738
2026-07-16,IWD,BAC,0.0103,0.0881682574109393
2026-07-16,IWD,PG,0.009399999999999999,0.0473749094729866
2026-07-16,IWD,CVX,0.009300000000000001,0.0640694517749455
2026-07-16,IWD,GS,0.0091,0.0505110449022853
2026-07-16,IWD,MRK,0.008199999999999999,0.1833431519822786
2026-07-16,IWD,KO,0.0079,0.0521763761339049
2026-07-16,IWD,PM,0.0076,0.066115460213128
2026-07-16,IWD,META,0.0073,0.0523803944436284
2026-07-16,IWD,WFC,0.0072,0.0937920320854145
2026-07-16,IWD,RTX,0.0072,0.0481913842279592
2026-07-16,IWD,MS,0.006999999999999999,0.0543541446820902
2026-07-16,IWD,LIN,0.0066,0.0514512572787514
2026-07-16,IWD,COST,0.0063,0.0349673417242849
2026-07-16,XLK,NVDA,0.1367,0.1315388937265645
2026-07-16,XLK,AAPL,0.12390000000000001,0.0400786669661726
2026-07-16,XLK,MSFT,0.0765,0.0701371391971642
2026-07-16,XLK,AVGO,0.0507,0.165256090788752
2026-07-16,XLK,AMD,0.0464,0.1196162872131638
2026-07-16,XLK,MU,0.0407,0.2654336192377388
2026-07-16,XLK,INTC,0.0339,0.0601017969792164
2026-07-16,XLK,CSCO,0.0313,0.056388664985051
2026-07-16,XLK,AMAT,0.031200000000000002,0.079548135587076
2026-07-16,XLK,LRCX,0.0286,0.0789371339086097
2026-07-16,XLK,KLAC,0.019799999999999998,0.0671662664633613
2026-07-16,XLK,PLTR,0.019,0.0554812815625825
2026-07-16,XLK,SNDK,0.018500000000000003,0.2062319874758803
2026-07-16,XLK,TXN,0.018500000000000003,0.0589719288680281
2026-07-16,XLK,IBM,0.0177,0.0645100065490763
2026-07-16,XLK,PANW,0.0173,0.0120904113104462
2026-07-16,XLK,ORCL,0.015600000000000001,0.1516333783701861
2026-07-16,XLK,MRVL,0.013500000000000002,0.1060606653558074
2026-07-16,XLK,STX,0.013300000000000001,0.1458693964647931
2026-07-16,XLK,WDC,0.0131,0.1458136387547742
2026-07-16,XLK,QCOM,0.013000000000000001,0.0502699283723456
2026-07-16,XLK,APH,0.0128,0.0631787282280559
2026-07-16,XLK,ADI,0.0126,0.0726726321054868
2026-07-16,XLK,ANET,0.0126,0.0532646891739001
2026-07-16,XLK,CRWD,0.0125,0.0246881463274897
2026-07-16,XLF,BRK-B,0.1149,0.0402098982593103
2026-07-16,XLF,JPM,0.1144,0.0605525530639261
2026-07-16,XLF,V,0.0735,0.0555460384344177
2026-07-16,XLF,MA,0.053899999999999997,0.0633506831728193
2026-07-16,XLF,BAC,0.049400000000000006,0.0881682574109393
2026-07-16,XLF,GS,0.0395,0.0505110449022853
2026-07-16,XLF,WFC,0.0338,0.0937920320854145
2026-07-16,XLF,MS,0.0338,0.0543541446820902
2026-07-16,XLF,C,0.0305,0.1040002340275553
2026-07-16,XLF,AXP,0.023700000000000002,0.0698916837614652
2026-07-16,XLF,SCHW,0.021400000000000002,0.0947083566923352
2026-07-16,XLF,BLK,0.019,0.080069645506471
2026-07-16,XLF,PGR,0.0171,0.0795014841762266
2026-07-16,XLF,SPGI,0.0166,0.0566550173293842
2026-07-16,XLF,CB,0.0159,0.0813918118954267
2026-07-16,XLF,COF,0.0159,0.1397850480769923
2026-07-16,XLF,BNY,0.0132,0.0722410346438257
2026-07-16,XLF,PNC,0.0128,0.1051350957593787
2026-07-16,XLF,USB,0.0123,0.1010497697891751
2026-07-16,XLF,BX,0.0116,0.1211607794637449
2026-07-16,XLF,HOOD,0.011200000000000002,0.0748938194378913
2026-07-16,XLF,CME,0.011000000000000001,0.0570949389167311
