ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
FMS,Germany,12425396224.0,Healthcare,Fresenius Medical Care AG,EQUITY,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),N,nasdaq_trader_symbol_directories,3,0.16525403500637925,12425396224.0,Fresenius Medical Care AG,Healthcare
LUXE,Germany,1239472256.0,Consumer Cyclical,LuxExperience B.V.,EQUITY,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",N,nasdaq_trader_symbol_directories,4,,,,
EVO,Germany,1147257472.0,Healthcare,Evotec SE,EQUITY,Evotec SE - American Depositary Shares each representing 1/2 of one ordinary share,NASDAQ,nasdaq_trader_symbol_directories,5,,,,
JMIA,Germany,883069184.0,Consumer Cyclical,Jumia Technologies AG,EQUITY,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",N,nasdaq_trader_symbol_directories,6,,,,
TRVG,Germany,195616496.0,Communication Services,trivago N.V.,EQUITY,trivago N.V. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,7,0.10377118818139056,195616496.0,trivago N.V.,Communication Services
XCH,Germany,61235080.0,Industrials,XCHG Limited,EQUITY,XCHG Limited - ADS,NASDAQ,nasdaq_trader_symbol_directories,8,,,,
BABA,Hong Kong,324980473856.0,Consumer Cyclical,Alibaba Group Holding Limited,EQUITY,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N,nasdaq_trader_symbol_directories,1,0.31942140022581855,324980473856.0,Alibaba Group Holding Limited,Consumer Cyclical
FUTU,Hong Kong,21615185920.0,Financial Services,Futu Holdings Limited,EQUITY,Futu Holdings Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,2,0.27273664534242903,21615185920.0,Futu Holdings Limited,Financial Services
SIMO,Hong Kong,4825681408.0,Technology,Silicon Motion Technology Corpo,EQUITY,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",NASDAQ,nasdaq_trader_symbol_directories,3,0.08557879892017362,4825681408.0,Silicon Motion Technology Corpo,Technology
HCM,Hong Kong,2384930816.0,Healthcare,HUTCHMED (China) Limited,EQUITY,HUTCHMED (China) Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,4,0.08604810446053601,2384930816.0,HUTCHMED (China) Limited,Healthcare
