date,country,ticker,company,icc,mktcap,source
2026-05-04,Mexico,KCDMY,"Kimberly Clark de Mexico, S.A. de C.V.",0.1685992319149684,6781918208.0,citi_dr_directory
2026-05-04,Netherlands,ASML,ASML,0.07125183711328631,534269820928.0,builtin_major_adr_universe
2026-05-04,Netherlands,PROSY,Prosus N.V.,0.1958825970750383,101760040960.0,citi_dr_directory
2026-05-04,Netherlands,ING,ING,0.12452164792902864,79844491264.0,builtin_major_adr_universe
2026-05-04,Netherlands,NXPI,NXP,0.09102204164088207,73408487424.0,builtin_major_adr_universe
2026-05-04,Netherlands,ARGX,argenx SE - American Depositary Shares,0.07791547689428124,50689044480.0,nasdaq_trader_symbol_directory
2026-05-04,Netherlands,STM,STMicroelectronics N.V. Common Stock,0.14904390236202192,48999219200.0,nasdaq_trader_symbol_directory
2026-05-04,Netherlands,FER,Ferrovial N.V. - Ordinary Shares,0.03948552117289833,48657592320.0,nasdaq_trader_symbol_directory
2026-05-04,Netherlands,ASMIY,ASM International N.V.,0.0670316003799617,47389179904.0,citi_dr_directory
2026-05-04,Netherlands,HEINY,Heineken NV,0.08765000563955894,41960378368.0,citi_dr_directory
2026-05-04,Netherlands,ADRNY,Koninklijke Ahold Delhaize N.V.,0.07608712805577902,40331419648.0,citi_dr_directory
2026-05-04,New Zealand,SPKKY,Spark New Zealand Limited,0.06582015467606639,2290812416.0,citi_dr_directory
2026-05-04,Norway,EQNR,Equinor,0.08717153502918829,102976135168.0,builtin_major_adr_universe
2026-05-04,Norway,DNBBY,DNB ASA,0.010000000000000002,42672492544.0,citi_dr_directory
2026-05-04,Norway,TELNY,Telenor ASA,0.0859343423852365,22535677952.0,citi_dr_directory
2026-05-04,Norway,NHYDY,Norsk Hydro A/S,0.19728618220712624,22438266880.0,citi_dr_directory
2026-05-04,Norway,YARIY,Yara International ASA,0.08402547586551046,14804653056.0,citi_dr_directory
2026-05-04,Norway,MHGVY,Mowi ASA,0.2747389277649376,11705963520.0,citi_dr_directory
2026-05-04,Norway,SUBCY,Subsea 7 SA,0.2944101421754023,10546295808.0,citi_dr_directory
2026-05-04,Norway,TMRAY,"Tomra Systems, A/S",0.19309176638935377,3128241920.0,citi_dr_directory
2026-05-04,Panama,CPA,"Copa Holdings, S.A. Class A Common Stock",0.23886974720259502,4565967872.0,nasdaq_trader_symbol_directory
2026-05-04,Panama,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",0.12721380442461616,1983997824.0,nasdaq_trader_symbol_directory
2026-05-04,Peru,BAP,Credicorp,0.11416847463704738,25395722240.0,builtin_major_adr_universe
2026-05-04,Peru,BVN,Buenaventura,0.09215064744918189,8008205824.0,builtin_major_adr_universe
2026-05-04,Peru,CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),0.08887679082290975,903305472.0,nasdaq_trader_symbol_directory
2026-05-04,Philippines,PHI,PLDT Inc. Sponsored ADR,0.1097622374226774,4323469824.0,nasdaq_trader_symbol_directory
2026-05-04,Portugal,GLPEY,Galp Energia SGPS SA,0.0643945180585781,18669379584.0,citi_dr_directory
