ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
NTES,China,69900558336.0,Communication Services,"NetEase, Inc.",EQUITY,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",NASDAQ,nasdaq_trader_symbol_directories,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",China,1,0.25468131526938775,74182393856.0,"NetEase, Inc.",Communication Services,74182393856.0,China
BIDU,China,41350905856.0,Communication Services,"Baidu, Inc.",EQUITY,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",NASDAQ,nasdaq_trader_symbol_directories,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",China,2,0.24021056442210764,43375411200.0,"Baidu, Inc.",Communication Services,43375411200.0,China
JD,China,40947302400.0,Consumer Cyclical,"JD.com, Inc.",EQUITY,"JD.com, Inc. - American Depositary Shares",NASDAQ,nasdaq_trader_symbol_directories,"JD.com, Inc. - American Depositary Shares",China,3,0.4,41029255168.0,"JD.com, Inc.",Consumer Cyclical,41029255168.0,China
ZTO,China,19565826048.0,Industrials,ZTO Express (Cayman) Inc.,EQUITY,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",N,nasdaq_trader_symbol_directories,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",China,4,0.25813170554977727,19159322624.0,ZTO Express (Cayman) Inc.,Industrials,19159322624.0,China
LI,China,19068547072.0,Consumer Cyclical,Li Auto Inc.,EQUITY,Li Auto Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Li Auto Inc. - American Depositary Shares,China,5,0.25417657899080137,18277816320.0,Li Auto Inc.,Consumer Cyclical,18277816320.0,China
BEKE,China,17644728320.0,Real Estate,KE Holdings Inc,EQUITY,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),N,nasdaq_trader_symbol_directories,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,6,0.23673598978385446,19475013632.0,KE Holdings Inc,Real Estate,19475013632.0,China
HTHT,China,16026432512.0,Consumer Cyclical,H World Group Limited,EQUITY,H World Group Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,H World Group Limited - American Depositary Shares,China,7,0.25967962455849614,14739615744.0,H World Group Limited,Consumer Cyclical,14739615744.0,China
NIO,China,15735589888.0,Consumer Cyclical,NIO Inc.,EQUITY,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",N,nasdaq_trader_symbol_directories,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",China,8,,,,,15735589888.0,China
XPEV,China,15196436480.0,Consumer Cyclical,XPeng Inc.,EQUITY,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",N,nasdaq_trader_symbol_directories,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",China,9,0.042333726946237105,15272896512.0,XPeng Inc.,Consumer Cyclical,15272896512.0,China
TME,China,14575693824.0,Communication Services,Tencent Music Entertainment Gro,EQUITY,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",N,nasdaq_trader_symbol_directories,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",China,10,0.2865676186805285,14402361344.0,Tencent Music Entertainment Gro,Communication Services,14402361344.0,China
EC,Colombia,29665695744.0,Energy,Ecopetrol S.A.,EQUITY,Ecopetrol S.A. American Depositary Shares,N,nasdaq_trader_symbol_directories,Ecopetrol S.A. American Depositary Shares,Colombia,1,0.08732576507600753,28843360256.0,Ecopetrol S.A.,Energy,28843360256.0,Colombia
GMAB,Denmark,16563307520.0,Healthcare,Genmab A/S,EQUITY,Genmab A/S - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Genmab A/S - American Depositary Shares,Denmark,1,0.14131100600062518,16600142848.0,Genmab A/S,Healthcare,16600142848.0,Denmark
CDLR,Denmark,2483674112.0,Industrials,Cadeler A/S,EQUITY,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),N,nasdaq_trader_symbol_directories,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),Denmark,2,,,,,2483674112.0,Denmark
