date,yyyymm,universe,n_items,download_path
2026-04-14,202604,rut1000,981,./data/downloads/raw/202604/icc_live_rut1000_2026_0414.csv
2026-04-14,202604,sp100,101,./data/downloads/raw/202604/icc_live_sp100_2026_0414.csv
2026-04-14,202604,sp400,396,./data/downloads/raw/202604/icc_live_sp400_2026_0414.csv
2026-04-14,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0414_r1.csv
2026-04-14,202604,sp600,573,./data/downloads/raw/202604/icc_live_sp600_2026_0414.csv
2026-04-14,202604,usall,2721,./data/downloads/raw/202604/icc_live_usall_2026_0414_r1.csv
2026-04-15,202604,dow30,30,./data/downloads/raw/202604/icc_live_dow30_2026_0415.csv
2026-04-15,202604,ndx100,100,./data/downloads/raw/202604/icc_live_ndx100_2026_0415.csv
2026-04-15,202604,rut1000,979,./data/downloads/raw/202604/icc_live_rut1000_2026_0415.csv
2026-04-15,202604,sp100,101,./data/downloads/raw/202604/icc_live_sp100_2026_0415.csv
2026-04-15,202604,sp400,396,./data/downloads/raw/202604/icc_live_sp400_2026_0415.csv
2026-04-15,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0415_r1.csv
2026-04-15,202604,sp600,572,./data/downloads/raw/202604/icc_live_sp600_2026_0415.csv
2026-04-15,202604,usall,2720,./data/downloads/raw/202604/icc_live_usall_2026_0415_r1.csv
2026-04-16,202604,dow30,30,./data/downloads/raw/202604/icc_live_dow30_2026_0416.csv
2026-04-16,202604,ndx100,100,./data/downloads/raw/202604/icc_live_ndx100_2026_0416.csv
2026-04-16,202604,rut1000,978,./data/downloads/raw/202604/icc_live_rut1000_2026_0416.csv
2026-04-16,202604,sp100,101,./data/downloads/raw/202604/icc_live_sp100_2026_0416.csv
2026-04-16,202604,sp400,396,./data/downloads/raw/202604/icc_live_sp400_2026_0416.csv
2026-04-16,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0416_r1.csv
2026-04-16,202604,sp600,572,./data/downloads/raw/202604/icc_live_sp600_2026_0416.csv
2026-04-16,202604,usall,2724,./data/downloads/raw/202604/icc_live_usall_2026_0416_r1.csv
