date,family,value,method,n_firms,source_file,label
2026-01-13,sp500,0.06769618686705364,ICC calculation,496,data/202601/icc_live_sp500_2026_0113_r1.csv,sp500
2026-01-14,sp500,0.06785427680125362,ICC calculation,496,data/202601/icc_live_sp500_2026_0114_r1.csv,sp500
2026-01-15,sp500,0.06805037218643983,ICC calculation,496,data/202601/icc_live_sp500_2026_0115_r1.csv,sp500
2026-01-16,sp500,0.06817249582034454,ICC calculation,496,data/202601/icc_live_sp500_2026_0116_r1.csv,sp500
2026-01-19,sp500,0.06812944192730826,ICC calculation,496,data/202601/icc_live_sp500_2026_0119_r1.csv,sp500
2026-01-20,sp500,0.06928492488988393,ICC calculation,496,data/202601/icc_live_sp500_2026_0120_r1.csv,sp500
2026-01-21,sp500,0.0689539185928104,ICC calculation,495,data/202601/icc_live_sp500_2026_0121_r1.csv,sp500
2026-01-22,sp500,0.06882813785572822,ICC calculation,495,data/202601/icc_live_sp500_2026_0122_r1.csv,sp500
2026-01-23,sp500,0.0691114757150584,ICC calculation,495,data/202601/icc_live_sp500_2026_0123_r1.csv,sp500
2026-01-26,sp500,0.06898439095251283,ICC calculation,495,data/202601/icc_live_sp500_2026_0126_r1.csv,sp500
2026-01-27,sp500,0.06947907181125385,ICC calculation,495,data/202601/icc_live_sp500_2026_0127_r1.csv,sp500
2026-01-28,sp500,0.06948957834698481,ICC calculation,495,data/202601/icc_live_sp500_2026_0128_r1.csv,sp500
2026-01-29,sp500,0.06903422154965734,ICC calculation,497,data/202601/icc_live_sp500_2026_0129_r1.csv,sp500
2026-01-30,sp500,0.06949106104919214,ICC calculation,497,data/202601/icc_live_sp500_2026_0130_r1.csv,sp500
2026-02-03,sp500,0.07110565703785837,ICC calculation,496,data/202602/icc_live_sp500_2026_0203_r1.csv,sp500
2026-02-04,sp500,0.07082231086169674,ICC calculation,496,data/202602/icc_live_sp500_2026_0204_r1.csv,sp500
2026-02-05,sp500,0.07497588609145042,ICC calculation,496,data/202602/icc_live_sp500_2026_0205_r1.csv,sp500
2026-02-06,sp500,0.07502093195326427,ICC calculation,496,data/202602/icc_live_sp500_2026_0206_r1.csv,sp500
2026-02-09,sp500,0.07473837330177734,ICC calculation,496,data/202602/icc_live_sp500_2026_0209_r1.csv,sp500
2026-02-10,sp500,0.07512630868991586,ICC calculation,496,data/202602/icc_live_sp500_2026_0210_r1.csv,sp500
2026-02-11,sp500,0.07539150669103345,ICC calculation,496,data/202602/icc_live_sp500_2026_0211_r1.csv,sp500
2026-02-12,sp500,0.07628148812249078,ICC calculation,496,data/202602/icc_live_sp500_2026_0212_r1.csv,sp500
2026-02-13,sp500,0.07641902308286991,ICC calculation,496,data/202602/icc_live_sp500_2026_0213_r1.csv,sp500
2026-02-16,sp500,0.07647095471625483,ICC calculation,496,data/202602/icc_live_sp500_2026_0216_r1.csv,sp500
2026-02-17,sp500,0.07660536099162935,ICC calculation,496,data/202602/icc_live_sp500_2026_0217_r1.csv,sp500
2026-02-18,sp500,0.07654050219861844,ICC calculation,496,data/202602/icc_live_sp500_2026_0218_r1.csv,sp500
2026-02-19,sp500,0.07677636393669138,ICC calculation,496,data/202602/icc_live_sp500_2026_0219_r1.csv,sp500
2026-02-20,sp500,0.07638525463045794,ICC calculation,496,data/202602/icc_live_sp500_2026_0220_r1.csv,sp500
2026-02-23,sp500,0.0770576837648785,ICC calculation,496,data/202602/icc_live_sp500_2026_0223_r1.csv,sp500
2026-02-24,sp500,0.07689768609460049,ICC calculation,496,data/202602/icc_live_sp500_2026_0224_r1.csv,sp500
2026-02-25,sp500,0.07673253543163475,ICC calculation,496,data/202602/icc_live_sp500_2026_0225_r1.csv,sp500
2026-02-26,sp500,0.07378859755320966,ICC calculation,496,data/202602/icc_live_sp500_2026_0226_r1.csv,sp500
2026-02-27,sp500,0.07395991999074679,ICC calculation,496,data/202602/icc_live_sp500_2026_0227_r1.csv,sp500
2026-03-02,sp500,0.07384518689463118,ICC calculation,495,data/202603/icc_live_sp500_2026_0302_r1.csv,sp500
2026-03-03,sp500,0.07424068648706249,ICC calculation,495,data/202603/icc_live_sp500_2026_0303_r1.csv,sp500
2026-03-04,sp500,0.07419240884989318,ICC calculation,501,data/202603/icc_live_sp500_2026_0304_r1.csv,sp500
2026-03-05,sp500,0.07540820323204772,ICC calculation,501,data/202603/icc_live_sp500_2026_0305_r1.csv,sp500
2026-03-06,sp500,0.07598419755862147,ICC calculation,501,data/202603/icc_live_sp500_2026_0306_r1.csv,sp500
2026-03-09,sp500,0.07596853622969772,ICC calculation,501,data/202603/icc_live_sp500_2026_0309_r1.csv,sp500
2026-03-10,sp500,0.0761408169324043,ICC calculation,501,data/202603/icc_live_sp500_2026_0310_r1.csv,sp500
2026-03-11,sp500,0.07617988088716068,ICC calculation,501,data/202603/icc_live_sp500_2026_0311_r1.csv,sp500
2026-03-12,sp500,0.07683473594671442,ICC calculation,501,data/202603/icc_live_sp500_2026_0312_r1.csv,sp500
2026-03-13,sp500,0.07712571264052383,ICC calculation,501,data/202603/icc_live_sp500_2026_0313_r1.csv,sp500
2026-03-16,sp500,0.07655681309290481,ICC calculation,501,data/202603/icc_live_sp500_2026_0316_r1.csv,sp500
2026-03-17,sp500,0.07641440056347147,ICC calculation,501,data/202603/icc_live_sp500_2026_0317_r1.csv,sp500
2026-03-18,sp500,0.0776629337624896,ICC calculation,501,data/202603/icc_live_sp500_2026_0318_r1.csv,sp500
2026-03-19,sp500,0.07781684892630251,ICC calculation,501,data/202603/icc_live_sp500_2026_0319_r1.csv,sp500
2026-03-20,sp500,0.07845866400141227,ICC calculation,501,data/202603/icc_live_sp500_2026_0320_r1.csv,sp500
2026-03-23,sp500,0.07876554765792887,ICC calculation,501,data/202603/icc_live_sp500_2026_0323_r1.csv,sp500
2026-03-24,sp500,0.07893744979754445,ICC calculation,501,data/202603/icc_live_sp500_2026_0324_r1.csv,sp500
2026-03-25,sp500,0.07866412455686017,ICC calculation,500,data/202603/icc_live_sp500_2026_0325_r1.csv,sp500
2026-03-26,sp500,0.0793986669195491,ICC calculation,500,data/202603/icc_live_sp500_2026_0326_r1.csv,sp500
2026-03-27,sp500,0.08028739616071724,ICC calculation,500,data/202603/icc_live_sp500_2026_0327_r1.csv,sp500
2026-03-30,sp500,0.08027931314886187,ICC calculation,500,data/202603/icc_live_sp500_2026_0330_r1.csv,sp500
2026-03-31,sp500,0.07889568917176408,ICC calculation,500,data/202603/icc_live_sp500_2026_0331_r1.csv,sp500
2026-04-01,sp500,0.0784875336195354,ICC calculation,500,data/202604/icc_live_sp500_2026_0401_r1.csv,sp500
2026-04-02,sp500,0.07849130427216776,ICC calculation,500,data/202604/icc_live_sp500_2026_0402_r1.csv,sp500
