ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
FTV,ok,True,True,True,True,True,forecast_icc,,18151426048.0
FOXA,ok,True,True,True,True,True,forecast_icc,,24753143808.0
FOX,ok,True,True,True,True,True,forecast_icc,,22141360128.0
BEN,ok,True,True,True,True,True,forecast_icc,,16831046656.0
FCX,ok,True,False,True,True,True,forecast_icc,,
GRMN,ok,True,True,True,True,True,forecast_icc,,56859791360.0
IT,ok,True,True,True,True,True,forecast_icc,,11090579456.0
GE,ok,True,True,True,True,True,forecast_icc,,363800526848.0
GEHC,ok,True,True,True,True,True,forecast_icc,,32706719744.0
GEV,ok,True,True,True,True,True,forecast_icc,,239774810112.0
GEN,ok,True,True,True,True,True,forecast_icc,,16538684416.0
GNRC,ok,True,True,True,True,True,forecast_icc,,11490577408.0
GD,ok,True,True,True,True,True,forecast_icc,,103023075328.0
GIS,ok,True,False,True,False,True,forecast_icc,,
GM,ok,True,True,True,True,True,forecast_icc,,80857964544.0
GPC,ok,True,True,True,True,True,forecast_icc,,17919010816.0
GILD,ok,True,True,True,True,True,forecast_icc,,164793565184.0
GPN,ok,True,False,True,True,True,forecast_icc,,
GL,ok,True,True,True,True,True,forecast_icc,,13951209472.0
GDDY,ok,True,True,True,True,True,forecast_icc,,13916274688.0
GS,ok,True,False,True,True,True,forecast_icc,,
HAL,ok,True,True,True,True,True,forecast_icc,,26056056832.0
HIG,ok,True,True,True,True,True,forecast_icc,,39935373312.0
HAS,ok,True,False,True,True,True,forecast_icc,,
HCA,ok,True,True,True,True,True,forecast_icc,,90550575104.0
DOC,ok,True,False,True,True,True,forecast_icc,,
HSIC,ok,True,True,True,True,True,forecast_icc,,9777475584.0
HSY,ok,True,True,True,True,True,forecast_icc,,37304926208.0
HPE,ok,True,True,True,True,True,forecast_icc,,58847600640.0
HLT,ok,True,True,True,True,True,forecast_icc,,72419172352.0
HD,ok,True,False,True,True,True,forecast_icc,,
HONA,ok,True,True,True,True,True,forecast_icc,,65032867840.0
HON,ok,True,True,True,True,True,forecast_icc,,76420571136.0
HRL,ok,True,False,True,True,True,forecast_icc,,
HST,ok,True,False,True,True,True,forecast_icc,,
HWM,ok,True,True,True,True,True,forecast_icc,,109145325568.0
HPQ,ok,True,False,True,True,True,forecast_icc,,
HUBB,ok,True,True,True,True,True,forecast_icc,,24357945344.0
HUM,ok,True,False,True,True,True,forecast_icc,,
HBAN,ok,True,True,True,True,True,forecast_icc,,34023786496.0
HII,ok,True,False,True,True,True,forecast_icc,,
IBM,ok,True,True,True,True,True,forecast_icc,,213336915968.0
IEX,ok,True,True,True,True,True,forecast_icc,,16987935744.0
IDXX,ok,True,True,True,True,True,forecast_icc,,44945170432.0
ITW,ok,True,True,True,True,True,forecast_icc,,84137869312.0
INCY,ok,True,True,True,True,True,forecast_icc,,25392312320.0
IR,ok,True,False,True,True,True,forecast_icc,,
PODD,ok,True,True,True,True,True,forecast_icc,,11817937920.0
INTC,ok,True,True,True,False,True,forecast_icc,,413002694656.0
IBKR,ok,True,True,True,True,True,forecast_icc,,146316132352.0
ICE,ok,True,False,True,True,True,forecast_icc,,
