date,family,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-12,industry,Industrials,0.06673771629635739,0.09338396491563228,434,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Real Estate,0.06737888373228346,0.09407244960321239,180,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Technology,0.06816201198848981,0.08395308611443836,486,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Utilities,0.08170182633712487,0.0920076813822485,90,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-13,industry,Basic Materials,0.09450981415785452,0.1185984151862353,158,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Communication Services,0.06257204466751791,0.12287247204352354,158,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Consumer Cyclical,0.08194905792640851,0.1119329892363742,391,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Consumer Defensive,0.06709202213089575,0.10784420280775012,157,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Energy,0.0983370048466068,0.12566776918649708,185,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Financial Services,0.08736195834217605,0.1191007676857693,625,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Healthcare,0.0796840064624349,0.08985513929421589,312,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Industrials,0.06755593990285122,0.09397197384902856,434,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Real Estate,0.06773803255671537,0.09597733174933169,180,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Technology,0.06933069419384301,0.08540314692875389,485,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-13,industry,Utilities,0.08223715023879039,0.09119111154190353,90,ICC calculation,data/202511/icc_live_usall_2025_1113.csv
2025-11-14,industry,Basic Materials,0.09546918155538495,0.11910777582010063,158,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Communication Services,0.06285015684550305,0.12431475698366552,158,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
