etf,symbol,weight,matched,constituent_icc,holding_source
SPY,ZTS,0.0012300368976496056,True,0.0728100691156422,spdr_full_holdings
SPY,PSA,0.0012216987391579026,True,0.0503117814738314,spdr_full_holdings
SPY,EXC,0.001216784615331994,True,0.0751684915428047,spdr_full_holdings
SPY,EBAY,0.001207130739815935,True,0.0723148247065376,spdr_full_holdings
SPY,F,0.0011915482116841023,True,0.1685490039917213,spdr_full_holdings
SPY,PYPL,0.0011847318463771967,False,,spdr_full_holdings
SPY,DDOG,0.0011831624971553743,True,0.0392021168876289,spdr_full_holdings
SPY,ROK,0.0011751413789105043,True,0.054486686137034,spdr_full_holdings
SPY,CAH,0.0011727477250469164,True,0.0712584028631336,spdr_full_holdings
SPY,EA,0.0011671995207273422,True,0.1314542049954309,spdr_full_holdings
SPY,FITB,0.0011623805089754835,True,0.2372216781146388,spdr_full_holdings
SPY,WAB,0.0011588613622356392,True,0.0645919713980923,spdr_full_holdings
SPY,IDXX,0.0011584016538777318,True,0.0435527813268742,spdr_full_holdings
SPY,DAL,0.0011478600656705407,True,0.1886618105617338,spdr_full_holdings
SPY,YUM,0.001127284153651091,True,0.0665140795424107,spdr_full_holdings
SPY,MET,0.0011264598490093257,True,0.1298288277233726,spdr_full_holdings
SPY,MSCI,0.0011041085116076125,True,0.0612773692440863,spdr_full_holdings
SPY,-,0.00109741896239944,False,,spdr_full_holdings
SPY,CMG,0.0010960398373257173,True,0.0682011298581023,spdr_full_holdings
SPY,STT,0.001089255176043495,True,0.0992781386673004,spdr_full_holdings
SPY,COIN,0.0010886845035991961,True,0.096272945718875,spdr_full_holdings
SPY,BDX,0.001085022688748277,True,0.0941065156132041,spdr_full_holdings
SPY,AMP,0.001084134976057145,True,0.0921307703247943,spdr_full_holdings
SPY,OXY,0.0010792367042435783,True,0.0551707372509639,spdr_full_holdings
SPY,AIG,0.0010782063234413715,True,0.1165765743663788,spdr_full_holdings
SPY,VTR,0.0010694401606164443,True,0.0575710310277813,spdr_full_holdings
SPY,RSG,0.001066586798394949,True,0.0549005006496889,spdr_full_holdings
SPY,CBRE,0.001051115234349508,True,0.0804210677456455,spdr_full_holdings
SPY,NDAQ,0.0010460901464372076,False,,spdr_full_holdings
SPY,EME,0.001036816719217348,True,0.0473610385416775,spdr_full_holdings
SPY,ON,0.0010336304647366782,False,,spdr_full_holdings
SPY,FANG,0.0010312209588607488,True,0.0627757368721342,spdr_full_holdings
SPY,DHI,0.0010307453984904995,True,0.0966613308962786,spdr_full_holdings
SPY,PEG,0.001024150961356377,True,0.0717107928083405,spdr_full_holdings
SPY,ED,0.0010222170158506968,True,0.0686683467181535,spdr_full_holdings
SPY,GRMN,0.001017889416481429,True,0.0515193769934027,spdr_full_holdings
SPY,XYZ,0.0010124363242359044,True,0.1144391791366276,spdr_full_holdings
SPY,KDP,0.0010114534994707229,True,0.0991603272153488,spdr_full_holdings
SPY,KR,0.0010068405638793054,True,0.0826133079631291,spdr_full_holdings
SPY,VMC,0.001005715071003049,True,0.0621463968326901,spdr_full_holdings
SPY,CCI,0.0009950149626724416,True,0.0798966134748318,spdr_full_holdings
SPY,WEC,0.0009803359992440824,True,0.0662197721392629,spdr_full_holdings
SPY,ROP,0.000974042750344451,False,,spdr_full_holdings
SPY,HIG,0.0009711418320859307,True,0.1036648111479007,spdr_full_holdings
SPY,ODFL,0.0009680348376669692,False,,spdr_full_holdings
SPY,HPE,0.00096755927729672,True,0.1034473319342262,spdr_full_holdings
