date,family,label,value,method,n_firms,yyyymm,year
2026-02-20,Consumer Defensive,Consumer Defensive,0.06927107643871953,ICC calculation,132.0,202602,2026
2026-02-20,Energy,Energy,0.10311389365286636,ICC calculation,180.0,202602,2026
2026-02-20,Financial Services,Financial Services,0.08952683022172161,ICC calculation,513.0,202602,2026
2026-02-20,Healthcare,Healthcare,0.08615923746864265,ICC calculation,252.0,202602,2026
2026-02-20,Industrials,Industrials,0.06569997542517515,ICC calculation,375.0,202602,2026
2026-02-20,Real Estate,Real Estate,0.06419490401759488,ICC calculation,166.0,202602,2026
2026-02-20,Technology,Technology,0.07367350495053596,ICC calculation,365.0,202602,2026
2026-02-20,Utilities,Utilities,0.08186656229398533,ICC calculation,80.0,202602,2026
2026-02-23,Basic Materials,Basic Materials,0.07688932420708455,ICC calculation,163.0,202602,2026
2026-02-23,Communication Services,Communication Services,0.07183775621074168,ICC calculation,121.0,202602,2026
2026-02-23,Consumer Cyclical,Consumer Cyclical,0.09677769800710881,ICC calculation,329.0,202602,2026
2026-02-23,Consumer Defensive,Consumer Defensive,0.06873240818655438,ICC calculation,132.0,202602,2026
2026-02-23,Energy,Energy,0.10282209077732869,ICC calculation,179.0,202602,2026
2026-02-23,Financial Services,Financial Services,0.09110284170730062,ICC calculation,514.0,202602,2026
2026-02-23,Healthcare,Healthcare,0.08580235049969402,ICC calculation,250.0,202602,2026
2026-02-23,Industrials,Industrials,0.06644043787506827,ICC calculation,375.0,202602,2026
2026-02-23,Real Estate,Real Estate,0.06344853899764391,ICC calculation,165.0,202602,2026
2026-02-23,Technology,Technology,0.07447460593399556,ICC calculation,365.0,202602,2026
2026-02-23,Utilities,Utilities,0.08157971359317436,ICC calculation,80.0,202602,2026
2026-02-24,Basic Materials,Basic Materials,0.07604746669136904,ICC calculation,163.0,202602,2026
2026-02-24,Communication Services,Communication Services,0.07178332655375061,ICC calculation,121.0,202602,2026
2026-02-24,Consumer Cyclical,Consumer Cyclical,0.09697858894419582,ICC calculation,330.0,202602,2026
2026-02-24,Consumer Defensive,Consumer Defensive,0.06825720770539996,ICC calculation,132.0,202602,2026
2026-02-24,Energy,Energy,0.10430285439878112,ICC calculation,180.0,202602,2026
2026-02-24,Financial Services,Financial Services,0.09082349496410719,ICC calculation,515.0,202602,2026
2026-02-24,Healthcare,Healthcare,0.08611340004234375,ICC calculation,250.0,202602,2026
2026-02-24,Industrials,Industrials,0.06586354908546549,ICC calculation,376.0,202602,2026
2026-02-24,Real Estate,Real Estate,0.060052102922042376,ICC calculation,164.0,202602,2026
2026-02-24,Technology,Technology,0.07362371362274067,ICC calculation,364.0,202602,2026
2026-02-24,Utilities,Utilities,0.08226598405654023,ICC calculation,80.0,202602,2026
2026-02-25,Basic Materials,Basic Materials,0.0767522600031082,ICC calculation,163.0,202602,2026
2026-02-25,Communication Services,Communication Services,0.07157803873373127,ICC calculation,121.0,202602,2026
2026-02-25,Consumer Cyclical,Consumer Cyclical,0.09724647419496425,ICC calculation,330.0,202602,2026
2026-02-25,Consumer Defensive,Consumer Defensive,0.06804911981243181,ICC calculation,131.0,202602,2026
2026-02-25,Energy,Energy,0.10537346775366817,ICC calculation,181.0,202602,2026
2026-02-25,Financial Services,Financial Services,0.09030792339391366,ICC calculation,513.0,202602,2026
2026-02-25,Healthcare,Healthcare,0.08632101202238855,ICC calculation,255.0,202602,2026
2026-02-25,Industrials,Industrials,0.06726891666298829,ICC calculation,376.0,202602,2026
2026-02-25,Real Estate,Real Estate,0.059284723879048554,ICC calculation,164.0,202602,2026
2026-02-25,Technology,Technology,0.07298763792935269,ICC calculation,365.0,202602,2026
2026-02-25,Utilities,Utilities,0.08178580772122322,ICC calculation,80.0,202602,2026
2026-02-26,Basic Materials,Basic Materials,0.0767317706539098,ICC calculation,164.0,202602,2026
2026-02-26,Communication Services,Communication Services,0.07197861634233294,ICC calculation,121.0,202602,2026
2026-02-26,Consumer Cyclical,Consumer Cyclical,0.0967786054752643,ICC calculation,330.0,202602,2026
2026-02-26,Consumer Defensive,Consumer Defensive,0.06810093589171218,ICC calculation,131.0,202602,2026
2026-02-26,Energy,Energy,0.10795661641432801,ICC calculation,181.0,202602,2026
2026-02-26,Financial Services,Financial Services,0.08974086381891266,ICC calculation,511.0,202602,2026
2026-02-26,Healthcare,Healthcare,0.08615764631041131,ICC calculation,255.0,202602,2026
2026-02-26,Industrials,Industrials,0.06713152541247769,ICC calculation,378.0,202602,2026
2026-02-26,Real Estate,Real Estate,0.05864267208915276,ICC calculation,164.0,202602,2026
2026-02-26,Technology,Technology,0.07341154614624973,ICC calculation,367.0,202602,2026
2026-02-26,Utilities,Utilities,0.07559351766480438,ICC calculation,80.0,202602,2026
2026-02-27,Basic Materials,Basic Materials,0.07600533054393632,ICC calculation,165.0,202602,2026
2026-02-27,Communication Services,Communication Services,0.07167510791561736,ICC calculation,121.0,202602,2026
2026-02-27,Consumer Cyclical,Consumer Cyclical,0.09727118773155727,ICC calculation,330.0,202602,2026
2026-02-27,Consumer Defensive,Consumer Defensive,0.06761981263124323,ICC calculation,132.0,202602,2026
2026-02-27,Energy,Energy,0.10586075622810628,ICC calculation,180.0,202602,2026
2026-02-27,Financial Services,Financial Services,0.09087249844561326,ICC calculation,510.0,202602,2026
2026-02-27,Healthcare,Healthcare,0.08571863872683104,ICC calculation,255.0,202602,2026
2026-02-27,Industrials,Industrials,0.06700364862649147,ICC calculation,378.0,202602,2026
2026-02-27,Real Estate,Real Estate,0.05911652928302005,ICC calculation,164.0,202602,2026
2026-02-27,Technology,Technology,0.0741914127113329,ICC calculation,368.0,202602,2026
2026-02-27,Utilities,Utilities,0.0749285882278573,ICC calculation,80.0,202602,2026
